公司代号,公司名字,类型,联系方式类型,联系方式
,,,电话,021-33959300
,,,电话,021-33951209
1020171281,国兴天成建设有限公司,施工企业,电子邮箱,3355825906@qq.com
,,,电话,021-56850077
1020171826,哈富环境科技（上海）有限公司,施工企业,电话,021-59786119
,,,电话,18621366055
1020172978,汉予森（上海）装饰工程有限公司,施工企业,电子邮箱,chen_hu@hanssemchina.com
,,,电话,021-31055908-8058
1020165727,豪泰消防安全技术（上海）有限公司,施工企业,电子邮箱,945948755@qq.com
,,,电话,021-67602156
,,,电话,18701895586
,,,电话,021-61114578
1020021042,浩德科技股份有限公司,施工企业,电子邮箱,zhuyuan@haodechina.com
,,,电话,021-51098680
1020021585,红阳建工集团有限公司,施工企业,电子邮箱,hyjscg@163.com
,,,电子邮箱,13901623258@qq.com
,,,电话,13901623258
,,,电话,64973387-801
,,,电话,021-64973387
1020140848,宏木贸易（上海）有限公司,施工企业,电子邮箱,alicexu@redwood.com.sg
,,,电话,021-24119580
1020171513,鸿治（上海）建设工程有限公司,施工企业,电话,021-59798786
1020020910,华鼎建筑装饰工程有限公司,施工企业,电子邮箱,hdzs@cscec.com
,,,电子邮箱,huangbb@cscec.com
,,,电子邮箱,guowenyuan@cscec.com
,,,电话,021-51860096
1020171552,华能（上海）电力检修有限责任公司,施工企业,电话,021-36026666
,,,电话,021-56151888
1020173918,晖保智能科技（上海）有限公司,施工企业,电子邮箱,tim@tdenergys.com
,,,电子邮箱,415404137@qq.com
,,,电子邮箱,florence.zhang@tdenergys.com
,,,电子邮箱,dana@tdenergys.com
,,,电话,021-57871528
1020130387,嘉寓门窗幕墙节能科技（上海）有限公司,施工企业,电子邮箱,1014530689@qq.com
,,,电话,021-60315300
,,,电话,021-60318339
1020171218,建贤思齐智能科技（上海）有限公司,施工企业,电子邮箱,176548626@qq.com
,,,电话,021-37199717
,,,电话,021-67115125
1020171220,江夏建设工程（上海）有限公司,施工企业,电话,13661795064
1020038905,杰仕依建筑工程（上海）有限公司,施工企业,电子邮箱,inforchina@gsegroup.com
,,,电子邮箱,czhou@gsegroup.com
,,,电子邮箱,infochina@gsegroup.com
,,,电话,021-60901388
,,,电话,021-60901389
,,,电话,60901389
1020171301,今尧建设科技（上海）有限公司,施工企业,电子邮箱,35390581@qq.com
,,,电子邮箱,133131390@qq.com
,,,电子邮箱,jinyaoxiang333@foxmail.com
,,,电话,021-54153986
,,,电话,021-60511315
,,,电话,13817443260
,,,电话,13816999008
1020165773,金琢幕墙（上海）有限公司,施工企业,电话,021-39529932
1020100190,京伦装潢设计工程（上海）有限公司,施工企业,电子邮箱,info@edifice.com.cn
,,,电话,021-51699088
1020120589,景裕恒（上海）建设有限公司,施工企业,电子邮箱,321265521@qq.com
,,,电子邮箱,1351538863@qq.com
,,,电子邮箱,2603054723@qq.com
,,,电子邮箱,maojinge@sohu.com
,,,电话,021-58648908
,,,电话,021-54250906
,,,电话,13917434735
,,,电话,54250906
1020172874,浚妮（上海）市政安装工程有限公司,施工企业,电话,13701615323
1020166034,康信建筑装饰（上海）有限公司,施工企业,电子邮箱,rebecca.zeng@ytb-interior.com
,,,电话,021-58790179
1020080250,科大智能科技股份有限公司,施工企业,电子邮箱,hjw@csg.com.cn
,,,电子邮箱,shhr@csg.com.cn
,,,电话,021-50809880
1020170822,空间易家（上海）装饰工程有限公司,施工企业,电话,13813868048
1020170290,锟锐（上海）建筑劳务有限公司,施工企业,电子邮箱,785001125@qq.com
,,,电话,13386088383
1020170086,蓝疆（上海）建设有限公司,施工企业,电话,13918412391
1020162228,理睿建筑装饰工程（上海）有限公司,施工企业,电子邮箱,alisa.jiao@ingroupasia.com
,,,电子邮箱,jennifer.chen@ingroupasia.com
,,,电话,021-51602501
1020165642,立邦装饰工程（上海）有限公司,施工企业,电话,021-58384799
1020170433,立塔（上海）照明工程有限公司,施工企业,电子邮箱,lita8888@sina.com
,,,电话,021-56575605
,,,电话,021-63205629
1020170014,灵壶展示设计（上海）有限公司,施工企业,电子邮箱,admin@retaillinkchina.com
,,,电话,021-22038600
1020153876,龙信（上海）装饰工程有限公司,施工企业,电子邮箱,717463469@qq.com
,,,电话,021-50791068
1020153878,绿尚（上海）建筑科技有限公司,施工企业,电子邮箱,yanping.wang@shgreenshine.com
,,,电子邮箱,info@shgreenshine.com
,,,电子邮箱,long.chen@greenshine.net
,,,电话,021-33567999
,,,电话,021-33568999
,,,电话,020-54265766-8005
1020166189,玛格巴（上海）桥梁构件有限公司,施工企业,电子邮箱,mkwang@mageba.cn
,,,电子邮箱,jwang@mageba.cn
,,,电话,021-57407637
,,,电话,57407637-806
,,,电话,021-57407634
1020060237,美华环境工程（上海）有限公司,施工企业,电子邮箱,alice.yu@stantec.com
,,,电子邮箱,joyce.zhu@mwhglobal.com
,,,电子邮箱,lilia.li@mwhglobal.com
,,,电话,021-62370588
1020040664,美施威尔（上海）有限公司,施工企业,电子邮箱,stella.cheng@mwgroup.net
,,,电话,021-22201888
1020050170,穆氏建筑设计（上海）有限公司,施工企业,电子邮箱,lydial@mmoser.com
,,,电话,021-61915807
,,,电话,021-61915777
1020140790,欧雄（上海）装饰设计工程有限公司,施工企业,电子邮箱,1229755365@qq.com
,,,电话,0791-86365930
,,,电话,0791-86365997
,,,电话,15079156201
,,,电话,021-32503383
1020156559,鹏志建筑装饰工程（上海）有限公司,施工企业,电子邮箱,494057924@qq.com
,,,电话,021-50395597
,,,电话,50395597
1020120540,璞勒仕建筑工程（上海）股份有限公司,施工企业,电子邮箱,along@plus-space.com
,,,电子邮箱,along@plus-spacce.com
,,,电话,021-61905333
,,,电话,61905333
1020173507,朴集建筑装饰工程（上海）有限公司,施工企业,电子邮箱,pj@pujispace.com
,,,电子邮箱,puji@qq.com
,,,电话,13816728801
,,,电话,13040666156
1020170678,祺景（上海）光电科技股份有限公司,施工企业,电子邮箱,mail@visionmax-sh.com
,,,电话,021-64683133
1020140391,企景（上海）机电设备有限公司,施工企业,电子邮箱,xiangzhidz@163.com
,,,电子邮箱,qijingshanghai@163.com
,,,电话,13501695030
,,,电话,021-36323289
,,,电话,021-56771533
1020170326,秦远电子系统工程（上海）有限公司,施工企业,电子邮箱,13816901696@163.com
,,,电子邮箱,zhangsu@qyelecs.com
,,,电话,021-60482360
,,,电话,021-67329178
,,,电话,13816901696
,,,电话,021-60528382
1020170029,清水源（上海）环保科技有限公司,施工企业,电子邮箱,lishuo@qsysh.com
,,,电话,021-34907056
1020171882,权峰机电国际贸易（上海）有限公司,施工企业,电子邮箱,epower@epower88.com
,,,电话,021-54452800
1020165598,仁杰照明科技（上海）有限公司,施工企业,电子邮箱,1115265759@qq.com
,,,电话,021-20782333
1020020040,瑞安建筑有限公司,施工企业,电子邮箱,bian.jingjie@socm.cn
,,,电话,021-62452031
1020120256,森佳建筑装饰设计工程（上海）有限公司,施工企业,电子邮箱,596832191@qq.com
,,,电子邮箱,1596832191@qq.com
,,,电话,18917105999
1020110586,上海阿琪玛斯建设工程有限公司,施工企业,电子邮箱,azimuthcsh@sh163.net
,,,电话,021-62781840
,,,电话,021-52988751
1020172781,上海艾窠乐企业管理咨询有限公司,施工企业,电话,021-50101687
1020166319,上海艾库环境工程有限公司,施工企业,电子邮箱,rosamin@126.com
,,,电话,021-57578577
,,,电话,021-34771091
1020171083,上海爱企装饰设计有限公司,施工企业,电话,021-68009399
1020110140,上海安岛建筑工程有限公司,施工企业,电子邮箱,374537338@qq.com
,,,电子邮箱,1748376025@qq.com
,,,电话,021-63930026
,,,电话,63930026
1020050799,上海安宏建设工程有限公司,施工企业,电子邮箱,beitai8008@163.com
,,,电子邮箱,992430305@qq.com
,,,电话,021-61203555
,,,电话,021-33713155
1020171154,上海安懋市政工程有限公司,施工企业,电话,18202187316
,,,电话,021-39552254
,,,电话,15026881913
1020165044,上海安祺消防工程有限公司,施工企业,电子邮箱,723346601@qq.com
,,,电话,15502106023
1020038958,上海安潼建筑工程有限公司,施工企业,电子邮箱,992430305@qq.com
,,,电话,021-33713155
1020164992,上海安兴毅呈通信设备工程有限公司,施工企业,电话,13816780788
,,,电话,021-65720900
1020170300,上海安邮智能科技有限公司,施工企业,电子邮箱,379234707@qq.com
,,,电子邮箱,xu.yan.66@163.com
,,,电话,021-35312699
1020172790,上海安禹装饰工程有限公司,施工企业,电话,13916141308
,,,电话,021-20962971
1020020568,上海安远基础工程土方运输有限公司,施工企业,电子邮箱,xiangpijing77@sina.com
,,,电话,021-58703997
1020110148,上海安悦节能技术有限公司,施工企业,电子邮箱,anyoee@saam.com.cn
,,,电话,021-36363636
1020041505,上海安质建设工程有限公司,施工企业,电子邮箱,azxh888@126.com
,,,电话,021-54659000
,,,电话,54659000
1020170489,上海昂涛室内装饰设计工程有限公司,施工企业,电子邮箱,adcc@adccinterior.com
,,,电话,021-59880651
,,,电话,021-59880316
1020172277,上海傲江生态环境科技有限公司,施工企业,电子邮箱,aojoa@aojoa.cn
,,,电子邮箱,renzhixin@126.com
,,,电话,021-58699998
,,,电话,021-50663502
,,,电话,13391256315
1020120005,上海傲盈建设工程有限公司,施工企业,电子邮箱,crazy880730@qq.com
,,,电话,021-57969953
,,,电话,13816686873
1020164887,上海奥领建设工程有限公司,施工企业,电子邮箱,18918336788@189.cn
,,,电话,021-63027515
,,,电话,18918336788
1020020953,上海奥盛建筑装潢工程有限公司,施工企业,电子邮箱,598093836@qq.com
,,,电子邮箱,shanghaiyutian1@163.com
,,,电话,0021-62453279
,,,电话,021-62453279
1020040610,上海澳星照明电器制造有限公司,施工企业,电子邮箱,hr@austar.net.cn
,,,电子邮箱,ljh@austar.net.cn
,,,电子邮箱,austar@austar.net.cn
,,,电话,021-68131313
1020010026,上海八达电信智能集成有限公司,施工企业,电子邮箱,baodn@badatii.com.cn
,,,电子邮箱,66963500@qq.com
,,,电子邮箱,287802942@qq.com
,,,电话,021-33685036
1020174048,上海拔臣建筑工程有限公司,施工企业,电话,13601887148
1020173244,上海百仝建设工程作业有限公司,施工企业,电话,13916001995
1020172030,上海佰能工程技术有限公司,施工企业,电子邮箱,326638789@qq.com
,,,电话,021-56120845
,,,电话,13585765016
1020163756,上海柏丝康实验室装备科技有限公司,施工企业,电子邮箱,1742871293@qq.com
,,,电话,021-58120233
,,,电话,15618851269
1020173320,上海拜亨建筑劳务工程有限公司,施工企业,电话,021-61762327
1020060465,上海班维建筑智能工程有限公司,施工企业,电子邮箱,bandway-shanghai@126.com
,,,电子邮箱,bandwayshanghai@126.com
,,,电话,021-51308910
1020166051,上海邦高建筑装饰工程有限公司,施工企业,电话,021-64182393
,,,电话,021-27710073
1020170730,上海邦浦实业集团有限公司,施工企业,电子邮箱,2853060248@qq.com
,,,电子邮箱,caiwu@shbangpu.com
,,,电话,021-59745000
,,,电话,021-59740275
1020173137,上海棒飞建筑工程有限公司,施工企业,电子邮箱,rx@jkinvest.cn
,,,电话,021-31652508
1020170929,上海棒立建筑工程有限公司,施工企业,电子邮箱,xiaoking2000@126.com
,,,电话,021-38230785
1020031212,上海宝德建筑工程有限公司,施工企业,电子邮箱,broadsh@broadsh.com
,,,电子邮箱,107522581@qq.com
,,,电子邮箱,daimm@broadsh.com
,,,电子邮箱,lizazhou@broadsh.com
,,,电话,021-68552220
,,,电话,021-68552220-818
1020031335,上海宝航市政交通设施有限公司,施工企业,电子邮箱,sh.bhszjt@163.com
,,,电话,021-58973333
1020130161,上海宝坚工贸有限公司,施工企业,电话,021-56153600
,,,电话,13341782132
,,,电话,13901806130
1020120493,上海宝莱建设发展有限公司,施工企业,电子邮箱,13916673882@139.com
,,,电话,021-56786689
1020021997,上海宝兰配电设备有限公司,施工企业,电子邮箱,baolanpd@aliyun.com
,,,电子邮箱,baolabpd@aliyum.com
,,,电子邮箱,baolabpd@aliyun.com
,,,电话,021-59903547
,,,电话,59903547-805
,,,电话,59903547
1020021207,上海宝璐装饰工程有限公司,施工企业,电话,021-66281754
,,,电话,66281754
1020021652,上海宝山公路工程建设有限公司,施工企业,电子邮箱,sanzel@163.net
,,,电子邮箱,sanzel@163.com
,,,电话,021-66933120
,,,电话,021-66933090
,,,电话,13916262317
1020164573,上海宝拾消防工程技术有限公司,施工企业,电子邮箱,563475945@qq.com
,,,电话,021-51721779
1020155174,上海宝圩信息科技有限公司,施工企业,电子邮箱,xhtangs123@163.com
,,,电话,18930812929
,,,电话,021-57966725
1020130805,上海宝文市政工程股份有限公司,施工企业,电子邮箱,8915845@qq.com
,,,电话,021-36072193
,,,电话,021-56174475
,,,电话,28642033
1020040601,上海宝信软件股份有限公司,施工企业,电子邮箱,investor@baosight.com
,,,电话,021-50801155
1020171397,上海宝雄建筑劳务有限公司,施工企业,电话,18930351717
1020130160,上海宝冶钢结构有限公司,施工企业,电子邮箱,yzw321@sbc-mcc.com
,,,电子邮箱,huangwei4949@126.com
,,,电话,021-66865396
,,,电话,13917087748
,,,电话,021-56923235
1020020119,上海宝冶集团有限公司,施工企业,电子邮箱,sbc@sbc-mcc.com
,,,电话,021-56646640
,,,电话,021-56923144
1020021901,上海宝冶建设工业炉工程技术有限公司,施工企业,电子邮箱,21954352@qq.com
,,,电子邮箱,stillwindcome@126.com
,,,电子邮箱,tata_ling@126.com
,,,电话,021-56646016
1020100248,上海宝冶建筑工程有限公司,施工企业,电子邮箱,312746935@qq.com
,,,电子邮箱,sbc@sbc-mcc.com
,,,电话,021-56935801
,,,电话,021-56938598
1020030998,上海宝冶建筑装饰有限公司,施工企业,电子邮箱,915866636@qq.com
,,,电子邮箱,31346859@qq.com
,,,电子邮箱,602320739@qq.com
,,,电话,021-66799953
1020162965,上海宝谊图片有限公司,施工企业,电子邮箱,1812493427@qq.com
,,,电话,021-56479663
1020165752,上海宝驭建筑工程有限公司,施工企业,电子邮箱,hmff56154902@163.com
,,,电子邮箱,13801960259@163.com
1020030890,上海保杰创新建设集团有限公司,施工企业,电子邮箱,zy@pocc.co
,,,电子邮箱,bj@pocc.co
,,,电子邮箱,13331828982@qq.com
,,,电子邮箱,248487826@qq.com
,,,电话,021-67675666
,,,电话,021-67675666-8008
1020023192,上海堡华建筑工程有限公司,施工企业,电子邮箱,852147302@qq.com
,,,电话,021-62322525
,,,电话,13585755626
,,,电话,62322525-513
1020060224,上海抱石机电工程有限公司,施工企业,电子邮箱,dandan.lk@bothline.net
,,,电话,021-64069061
,,,电话,021-64069062
1020163455,上海爆破技术工程联合有限公司,施工企业,电子邮箱,1164248842@qq.com
,,,电话,021-58814775
,,,电话,13391387571
1020070335,上海北斗星景观设计工程有限公司,施工企业,电子邮箱,beidouxing.yjl@gmail.com
,,,电话,021-64686128
1020173210,上海北横建设工程有限公司,施工企业,电子邮箱,13391279888@189.com
,,,电话,021-57668588
1020031440,上海北惠建筑装饰工程有限公司,施工企业,电话,021-63808913
,,,电话,13817432501
1020170692,上海北魁建设工程有限公司,施工企业,电话,13764937658
1020166342,上海北煤燃气管道安装工程有限公司,施工企业,电话,021-33760507
,,,电话,13501653332
,,,电话,15001874580
1020100212,上海北漠景观幕墙科技股份有限公司,施工企业,电子邮箱,beimo2007@vip.163.com
,,,电子邮箱,1728431718@qq.com
,,,电子邮箱,beimo2007@163.com
,,,电话,021-34531836
1020151206,上海贝申工程建设有限公司,施工企业,电子邮箱,18916610666@189.cn
,,,电子邮箱,pangx@shbeishen.com.cn
,,,电子邮箱,pangx@shbeishen.com
,,,电子邮箱,herr_pansh@sohu.com
,,,电话,021-55801157
1020041459,上海贝特机电设备安装有限公司,施工企业,电子邮箱,dengfang@sh-better.cn
,,,电子邮箱,hanbeibei@sh-better.cn
,,,电话,021-51673916
1020070520,上海备特楼宇科技有限公司,施工企业,电子邮箱,chunhui.zhu@better-elv.com
,,,电子邮箱,syz@better-elv.com
,,,电子邮箱,admin@better-elv.com
,,,电话,021-52930246
1020164967,上海本冶建设有限公司,施工企业,电子邮箱,2672466500@qq.com
,,,电话,021-38685808
1020171124,上海毕伦建筑劳务有限公司,施工企业,电话,13501799210
1020172827,上海杓斗实业有限公司,施工企业,电话,18602837299
1020171446,上海标典通讯工程技术有限公司,施工企业,电子邮箱,aduhp@aliyun.com
,,,电话,13601759616
,,,电话,021-58850888
1020172113,上海标炘建筑装饰工程有限公司,施工企业,电子邮箱,huqp@bxthriving.com
,,,电话,021-56333653
,,,电话,021-56085180
1020170298,上海标优建筑工程有限公司,施工企业,电话,021-58601905
1020022491,上海滨海电力工程有限公司,施工企业,电子邮箱,wp@126.com
,,,电话,021-62765282
,,,电话,021-67265282
1020030825,上海滨晟建筑装饰设计工程有限公司,施工企业,电子邮箱,jbs888@vip.sohu.com
,,,电子邮箱,jbs888@vip.qq.com
,,,电话,021-58361406
1020166761,上海秉凡电气工程有限公司,施工企业,电话,18917019530
,,,电话,021-62263772
1020174013,上海炳星建筑工程设计有限公司,施工企业,电子邮箱,375892519@qq.com
,,,电子邮箱,455421137@qq.com
,,,电话,021-52355232
,,,电话,18653956417
,,,电话,15021392715
1020041407,上海波涛装饰（集团）有限公司,施工企业,电子邮箱,646780578@qq.com
,,,电话,021-51575111
,,,电话,021-54243698
1020171908,上海帛施建筑装饰有限公司,施工企业,电话,021-35350855
1020100008,上海铂磊建设工程有限公司,施工企业,电子邮箱,duman6718@hotmail.com
,,,电话,021-36043785
1020173533,上海博奥通信科技发展有限公司,施工企业,电子邮箱,alice_luck@126.com
,,,电话,021-56575883
,,,电话,13601980941
1020171126,上海博宸建筑装饰工程有限公司,施工企业,电子邮箱,303950987@qq.com
,,,电话,13752200044
,,,电话,0571-56058950
1020080075,上海博丹环境工程技术股份有限公司,施工企业,电子邮箱,lyx6botian@126.com
,,,电子邮箱,yyjbodan@126.om
,,,电子邮箱,yyjbodan@126.com
,,,电话,021-65532698-815
,,,电话,65532698-815
,,,电话,65532698-812
,,,电话,021-65532698
,,,电话,65535328-812
1020166119,上海博电网络科技有限公司,施工企业,电子邮箱,vicky.wang@bnct.com.hk
,,,电话,021-62171616
1020171377,上海博格厨房设备有限公司,施工企业,电子邮箱,333boge@sohu.com
,,,电话,021-59556800
,,,电话,13601983231
1020171360,上海博沪建设工程有限公司,施工企业,电话,021-33150397
1020170582,上海博景土方工程有限公司,施工企业,电子邮箱,872880718@qq.com
,,,电话,13681989760
,,,电话,13681988760
1020050030,上海博湾建设（集团）有限公司,施工企业,电子邮箱,boso_chf2003@126.com
,,,电子邮箱,boso_gua@126.com
,,,电子邮箱,chenhf2003@126.com
,,,电话,021-63458510
,,,电话,021-63451218
,,,电话,021-63453878
1020170634,上海博衍建设工程有限公司,施工企业,电子邮箱,453979040@qq.com
,,,电话,18616291367
,,,电话,021-60486767
1020151143,上海博阳新能源科技股份有限公司,施工企业,电子邮箱,zhanglucamellia@163.com
,,,电话,021-67686655
,,,电话,021-37668458
1020151782,上海博屹自动化工程有限公司,施工企业,电话,021-62042673
,,,电话,13901710536
1020130378,上海博越建设工程有限公司,施工企业,电子邮箱,393024318@qq.com
,,,电子邮箱,xzh8128@163.com
,,,电话,13472880852
,,,电话,021-54859732
1020060445,上海博众建筑安装工程有限公司,施工企业,电子邮箱,ling11-24@126.com
,,,电话,18601715816
1020170498,上海步凤建设工程有限公司,施工企业,电子邮箱,664749688@qq.com
,,,电话,021-37023295
1020022926,上海彩虹建筑装潢有限公司,施工企业,电子邮箱,111111111@qq.com
,,,电子邮箱,57595138@126.com
,,,电话,021-57595875
,,,电话,021-57595138
1020110238,上海灿硕城市景观照明科技有限公司,施工企业,电子邮箱,43042453@qq.com
1020172972,上海粲阳通信科技有限公司,施工企业,电话,15601668388
1020166678,上海璨能能源科技有限公司,施工企业,电子邮箱,13671775546@163.com
,,,电子邮箱,13061611222@163.com
,,,电话,021-61472998
,,,电话,021-55883199
,,,电话,021-55883198
1020031610,上海仓杰实业有限公司,施工企业,电话,17721103258
,,,电话,18918356928
,,,电话,18918356908
1020165210,上海岑电建设工程有限公司,施工企业,电话,021-55895929
1020170651,上海岑阳建筑安装有限公司,施工企业,电子邮箱,1933036718@qq.com
,,,电子邮箱,18999979399@189.com
,,,电子邮箱,13918236696@139.com
,,,电话,18999979399
,,,电话,13365541126
1020166338,上海层城建筑工程有限公司,施工企业,电子邮箱,13918976586@163.com
,,,电话,13801904610
,,,电话,13918976586
1020172088,上海茶山建设工程有限公司,施工企业,电话,13917758495
1020020701,上海茶亭建筑装潢工程有限公司,施工企业,电子邮箱,chatingzhuang@163.com
,,,电话,021-63057710
1020020172,上海昌发岩土工程勘察技术有限公司,施工企业,电子邮箱,changfayantu@126.com
,,,电子邮箱,changfayntu@126.com
,,,电话,021-36040333
,,,电话,021-36040993
1020130526,上海昌鸿建设工程有限公司,施工企业,电话,13918116763
,,,电话,021-56555075
1020031696,上海昌利电气工程安装有限公司,施工企业,电子邮箱,shchangli@126.com
,,,电话,021-57423877
1020020598,上海长安市政工程有限公司,施工企业,电话,021-63288586
,,,电话,021-68288586
1020163513,上海长城宽带网络服务有限公司,施工企业,电子邮箱,shenwenjuan@shpbs.com
,,,电子邮箱,shenwenjuan@btte.net
,,,电话,021-61226060
,,,电话,17050071016
1020171975,上海长岛建筑工程有限公司,施工企业,电子邮箱,2069605319@qq.com
,,,电话,021-62680686
1020165756,上海长风延华智慧环保科技有限公司,施工企业,电子邮箱,hr.dfyh@chinaforwards.com
,,,电子邮箱,zhangfuping@chinaforwards.com
,,,电话,021-61818686
1020140210,上海长纳隧道工程科技有限公司,施工企业,电话,13651688600
,,,电话,021-57813662
1020050828,上海长润信息技术有限公司,施工企业,电子邮箱,wiserun@wiserun.com
,,,电子邮箱,dingyj@wiserun.com
,,,电子邮箱,wufang@wiserun.com
,,,电子邮箱,zhouml@wiserun.com
,,,电话,021-6212997
,,,电话,021-62129977
1020130353,上海长贤建筑劳务有限公司,施工企业,电子邮箱,2595947959@qq.com
,,,电话,18101878586
,,,电话,13916943048
,,,电话,021-61806513
,,,电话,021-68705571
,,,电话,021-35350606
1020170413,上海长现建筑有限公司,施工企业,电子邮箱,13917398880@163.com
,,,电话,021-36518995
1020170350,上海长宇建筑装饰有限公司,施工企业,电子邮箱,1477499812@qq.com
,,,电话,13701891158
1020166888,上海常浦建筑工程有限公司,施工企业,电子邮箱,352675065@qq.com
,,,电子邮箱,365269137@qq.com
,,,电话,021-52991099
1020170622,上海常筑建筑工程技术有限公司,施工企业,电子邮箱,280228911@qq.com
,,,电话,17717601136
1020166036,上海昶天建筑劳务分包有限公司,施工企业,电话,021-39279999
,,,电话,39279999-805
1020140471,上海畅帆建筑安装工程有限公司,施工企业,电子邮箱,yongou2006@163.com
,,,电话,021-65135159
,,,电话,021-65137430
,,,电话,13901701200
1020170974,上海畅磊建筑装饰工程有限公司,施工企业,电子邮箱,changlei5188@163.com
,,,电子邮箱,chenglei123@163.com
,,,电话,15800569996
,,,电话,13818045096
1020050287,上海畅瑞装饰工程有限公司,施工企业,电子邮箱,changrui@kaijie.com
,,,电子邮箱,changrui@kaijiechina.com
1020173259,上海超润建设发展有限公司,施工企业,电子邮箱,634150166@qq.com
,,,电子邮箱,545020165@qq.com
,,,电话,021-58071764
,,,电话,58071764-800
,,,电话,13818885061
1020150876,上海超逾建筑劳务有限公司,施工企业,电子邮箱,dongchaoco@163.com
,,,电子邮箱,cmap_liyang@163.com
,,,电话,021-33675226
,,,电话,021-33675225
,,,电话,18217162820
,,,电话,021-61530343
1020164056,上海超约建设工程有限公司,施工企业,电子邮箱,xuhaijing@139.com
,,,电话,021-56144698
1020165400,上海巢磊建筑工程有限公司,施工企业,电子邮箱,1272155363@qq.com
,,,电子邮箱,342389709@qq.com
,,,电话,17702112311
,,,电话,021-67639830
1020166747,上海朝彩电力设备有限公司,施工企业,电子邮箱,jourkey@163.com
,,,电话,021-58321594
,,,电话,201-58321594
1020170841,上海朝甫建筑工程有限公司,施工企业,电话,021-69981180
1020165610,上海朝鑫建筑劳务有限公司,施工企业,电话,021-58323593
,,,电话,13917782716
1020021418,上海朝兴建设有限公司,施工企业,电子邮箱,shcx@sina.com
,,,电话,021-54365911
,,,电话,021-54365900
,,,电话,13901888777
1020165744,上海朝展展览服务有限公司,施工企业,电子邮箱,575674936@qq.com
,,,电话,13916652705
1020030874,上海潮汕建筑劳务有限公司,施工企业,电子邮箱,chjs@chjs.com.cn
,,,电话,021-62833355
1020171264,上海潮腾建设工程有限公司,施工企业,电话,021-58690161
1020022613,上海车峰建筑工程有限公司,施工企业,电子邮箱,chetingl163@163.com
,,,电子邮箱,cheting163@163.com
,,,电话,021-57608809
,,,电话,021-54608809
1020110677,上海辰都建设工程有限公司,施工企业,电话,021-59450726
,,,电话,13311781387
,,,电话,021-59453679
1020166638,上海辰濠建设工程有限公司,施工企业,电话,021-68008722
,,,电话,13917901121
1020150549,上海辰鸣电力工程有限公司,施工企业,电子邮箱,wang.xiaolong@cmpe.cn
,,,电子邮箱,cmpe@cmpe.cn
,,,电子邮箱,zhang.yongyu@dehaochem.com
,,,电子邮箱,wang.xiaolong@dehaochem.com
,,,电话,021-64131006
,,,电话,021-34627787
1020171210,上海辰强建筑劳务服务有限公司,施工企业,电子邮箱,13761003768@163.com
,,,电话,13761003768
1020173404,上海辰怡建筑装饰工程有限公司,施工企业,电话,13818027779
1020020215,上海宸新智能系统集成有限公司,施工企业,电子邮箱,cxzn@shchenxin.com
,,,电话,021-51035188
1020110319,上海宸谊建设有限公司,施工企业,电子邮箱,1003186841@qq.com
